"","ozempic_opinion","income_score","genetics","OZread","OZUSE_a_W142","partylean","gender","genetics_collapsed","opinion_collapsed"
"1979","Nothing at all","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Nothing at all"
"1980","Not too much","Middle Income","A great deal","A little","Not sure","Democrat","Female","A great deal","Not too much"
"1981","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"1982","Quite a bit","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","A lot"
"1983","Quite a bit","Lower Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1984","Quite a bit","Upper Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","A lot"
"1985","Quite a bit","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","A lot"
"1986","Some","Lower Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1987","Not too much","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Not too much"
"1988","Not too much","Lower Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Not too much"
"1989","Quite a bit","Lower Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"1990","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1991","Some","Middle Income","Some","A little","Not sure","Democrat","Female","Some","Some"
"1992","Quite a bit","Middle Income","A great deal","A lot","No","Democrat","Male","A great deal","A lot"
"1993","Not too much","Lower Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"1994","Not too much","Upper Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"1995","Nothing at all","Lower Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Nothing at all"
"1996","Nothing at all","Upper Income","Some","A little","Not sure","Democrat","Male","Some","Nothing at all"
"1997","Not too much","Lower Income","Not too much","A little","Yes","Democrat","Female","Low","Not too much"
"1998","Some","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1999","Quite a bit","Lower Income","Some","A little","Yes","Republican","Male","Some","A lot"
"2000","Nothing at all","Middle Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Nothing at all"
"2001","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"2002","Some","Upper Income","Some","A little","No","Democrat","Male","Some","Some"
"2003","Some","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"2004","Not too much","Lower Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Not too much"
"2005","Some","Lower Income","Some","A little","Yes","Republican","Male","Some","Some"
"2006","Not too much","Middle Income","Not at all","A lot","No","Republican","Male","Low","Not too much"
"2007","A great deal","Lower Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"2008","Quite a bit","Upper Income","Some","A little","Not sure","Republican","Female","Some","A lot"
"2009","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"2010","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"2011","Some","Lower Income","Not at all","A lot","Yes","Republican","Female","Low","Some"
"2012","Quite a bit","Lower Income","Some","A lot","No","Democrat","Male","Some","A lot"
"2013","Not too much","Middle Income","A great deal","A little","No","Republican","Female","A great deal","Not too much"
"2014","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"2015","Not too much","Lower Income","A great deal","A little","No","Democrat","Female","A great deal","Not too much"
"2016","Some","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"2017","Not too much","Lower Income","Not too much","A little","No","Republican","Male","Low","Not too much"
"2018","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"2019","Not too much","Lower Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"2020","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"2021","Not too much","Lower Income","A great deal","A little","Yes","Democrat","Male","A great deal","Not too much"
"2022","A great deal","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"2023","Not too much","Lower Income","A great deal","A little","No","Democrat","Male","A great deal","Not too much"
"2024","Some","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Some"
"2025","Not too much","Middle Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"2026","Not too much","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Not too much"
"2027","Not too much","Lower Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"2028","Some","Upper Income","A great deal","A little","Not sure","Democrat","Female","A great deal","Some"
"2029","Nothing at all","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Nothing at all"
"2030","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"2031","Quite a bit","Middle Income","A great deal","A little","No","Republican","Female","A great deal","A lot"
"2032","Nothing at all","Middle Income","A great deal","A little","Not sure","Republican","Male","A great deal","Nothing at all"
"2033","Not too much","Lower Income","A great deal","A lot","Not sure","Republican","Female","A great deal","Not too much"
"2034","A great deal","Lower Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"2035","Nothing at all","Middle Income","Not too much","A little","Not sure","Republican","Male","Low","Nothing at all"
"2036","Not too much","Middle Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Not too much"
"2037","A great deal","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"2038","Nothing at all","Middle Income","Some","A lot","No","Democrat","Female","Some","Nothing at all"
"2039","Some","Lower Income","A great deal","A lot","Yes","Republican","Male","A great deal","Some"
"2040","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"2041","Some","Lower Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Some"
"2042","Some","Lower Income","A great deal","A lot","Yes","Republican","Female","A great deal","Some"
"2043","Some","Upper Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"2044","Not too much","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Not too much"
"2045","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"2046","Nothing at all","Middle Income","Some","A little","Not sure","Republican","Male","Some","Nothing at all"
"2047","Not too much","Lower Income","A great deal","A little","Yes","Democrat","Male","A great deal","Not too much"
"2048","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"2049","Some","Middle Income","Some","A little","No","Republican","Female","Some","Some"
"2050","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"2051","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"2052","Some","Middle Income","Some","A little","No","Democrat","Male","Some","Some"
"2053","Not too much","Middle Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Not too much"
"2054","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"2055","Not too much","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"2056","Some","Middle Income","A great deal","A little","No","Republican","Female","A great deal","Some"
"2057","Not too much","Lower Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"2058","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"2059","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","A lot"
"2060","Some","Middle Income","Some","A little","Not sure","Democrat","Female","Some","Some"
"2061","Some","Lower Income","Some","A little","Yes","Republican","Male","Some","Some"
"2062","Some","Lower Income","Some","A little","Not sure","Republican","Male","Some","Some"
"2063","Some","Middle Income","Quite a bit","A lot","Not sure","Democrat","Female","Quite a bit","Some"
"2064","Some","Lower Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Some"
"2065","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"2066","Some","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Some"
"2067","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"2068","Not too much","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","Not too much"
"2069","Not too much","Upper Income","Some","A lot","No","Republican","Male","Some","Not too much"
"2070","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"2071","Some","Lower Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Some"
"2072","Not too much","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"2073","Not too much","Lower Income","Some","A little","Not sure","Democrat","Male","Some","Not too much"
"2074","Not too much","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Not too much"
"2075","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"2076","Not too much","Upper Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"2077","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Not too much"
"2078","Not too much","Lower Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Not too much"
"2079","Some","Middle Income","Not too much","A little","Yes","Republican","Male","Low","Some"
"2080","A great deal","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"2081","A great deal","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","A lot"
"2082","A great deal","Lower Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"2083","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"2084","Some","Lower Income","Some","A little","Yes","Democrat","Female","Some","Some"
"2085","Some","Upper Income","Some","A little","Not sure","Democrat","Male","Some","Some"
"2086","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"2087","A great deal","Middle Income","A great deal","A lot","Yes","Republican","Male","A great deal","A lot"
"2088","Not too much","Upper Income","A great deal","A little","No","Democrat","Male","A great deal","Not too much"
"2089","Quite a bit","Upper Income","A great deal","A lot","Yes","Republican","Male","A great deal","A lot"
"2090","Some","Middle Income","Some","A little","Not sure","Republican","Female","Some","Some"
"2091","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"2092","Some","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"2093","Not too much","Lower Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"2094","A great deal","Middle Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"2095","Not too much","Lower Income","Some","A little","No","Republican","Female","Some","Not too much"
"2096","Not too much","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"2097","Some","Upper Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
